periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,agg_level,EarnHirNS,EmpEnd,sEarnHirNS,sEmpEnd,version
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2020,1,,5340,2094,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2020,1,,2556,1542575,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2020,2,,6087,2077,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2020,2,,2564,1523316,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2020,3,,6016,2082,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2020,3,,2648,1556017,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2020,4,,6367,2200,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2020,4,,2837,1575670,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2021,1,,5421,2297,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2021,1,,2491,1583853,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2021,2,,7891,2364,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2021,2,,3031,1608880,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2021,3,,7194,2460,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2021,3,,2849,1625764,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2021,4,,7040,2354,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2021,4,,3161,1635087,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2022,1,,8035,2559,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2022,1,,2882,1641326,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2022,2,,8327,2723,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2022,2,,3330,1664602,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2022,3,,7887,3136,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2022,3,,3371,1677821,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2022,4,,6170,3096,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2022,4,,3243,1680303,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2023,1,,7545,3477,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2023,1,,3186,1686091,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2023,2,,6462,3663,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2023,2,,3379,1707567,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2023,3,,5485,3817,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2023,3,,3238,1710294,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2023,4,,6007,3768,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2023,4,,3280,1699884,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2024,1,,6040,3696,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,A,00,A05,0,A00,A0,A0,E0,0,0,2024,1,,3171,1705308,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
Q,U,S,01,4,5182,A05,0,A00,A0,A0,E0,0,0,2024,2,,7174,3797,1,1,QWI_F AL 01 2001:1-2024:4 V4.12.0 R2025Q3 qwipu_al_20250730_0745
