year,region_std,cost_res_attr,cost_dc_attr
2020,LRZ1,0.0,57045772.0
2020,LRZ2_7,17365942.02767617,124469259.97232382
2020,LRZ3_5,5103507.140052584,349715841.25994736
2020,LRZ4,663148550.0,0.0
2020,LRZ6,0.0,163148000.0
2020,LRZ8_9_10,188313551.2632103,6017449.7367896885
2021,LRZ1,0.0,135194071.5
2021,LRZ2_7,0.0,221643136.0
2021,LRZ3_5,39989474.55597084,231699696.44402918
2021,LRZ4,206737750.0,0.0
2021,LRZ6,36389429.9120639,95109970.08793609
2021,LRZ8_9_10,169548932.77293012,70388662.22706987
2022,LRZ1,0.0,148222612.01
2022,LRZ2_7,12444657.853953416,186499792.14604658
2022,LRZ3_5,3511251.7288467023,80507501.27115329
2022,LRZ4,133118000.0,0.0
2022,LRZ6,50281958.777742,406357219.22225803
2022,LRZ8_9_10,116401990.96048391,153449763.0395161
2023,LRZ1,17214283.297535975,109769331.03246403
2023,LRZ2_7,86971855.17368498,225058249.82631502
2023,LRZ3_5,0.0,422987924.5
2023,LRZ4,638614869.0,0.0
2023,LRZ6,80937304.0717939,335218998.9282061
2023,LRZ8_9_10,418303212.825394,1803767477.174606
2024,LRZ1,34864854.98400653,140927778.01599348
2024,LRZ2_7,282032421.1190055,295923578.88099456
2024,LRZ3_5,43060237.837750636,233512502.16224936
2024,LRZ4,220100000.0,0.0
2024,LRZ6,270405561.0189884,190331518.98101157
2024,LRZ8_9_10,175978569.21728215,362460671.7827179
2025,LRZ1,100190332.72979453,289502087.9368721
2025,LRZ2_7,543015781.1655922,473368218.8344078
2025,LRZ3_5,312214331.45304775,924967425.713619
2025,LRZ4,262212831.16666663,0.0
2025,LRZ6,623156904.0061834,407785593.99381673
2025,LRZ8_9_10,813441038.2543609,1464116844.7456388
